   -960.0    1.083   34.683   0.0   0.0
   -950.0    1.082   34.683   0.0   0.0
   -940.0    1.081   34.683   0.0   0.0
   -930.0    1.081   34.683   0.0   0.0
   -920.0    1.080   34.683   0.0   0.0
   -910.0    1.079   34.683   0.0   0.0
   -900.0    1.078   34.683   0.0   0.0
   -890.0    1.077   34.682   0.0   0.0
   -880.0    1.076   34.682   0.0   0.0
   -870.0    1.075   34.682   0.0   0.0
   -860.0    1.074   34.682   0.0   0.0
   -850.0    1.073   34.682   0.0   0.0
   -840.0    1.073   34.682   0.0   0.0
   -830.0    1.072   34.681   0.0   0.0
   -820.0    1.070   34.680   0.0   0.0
   -810.0    1.068   34.679   0.0   0.0
   -800.0    1.064   34.678   0.0   0.0
   -790.0    1.060   34.676   0.0   0.0
   -780.0    1.052   34.673   0.0   0.0
   -770.0    1.046   34.671   0.0   0.0
   -760.0    1.038   34.668   0.0   0.0
   -750.0    1.027   34.664   0.0   0.0
   -740.0    1.013   34.660   0.0   0.0
   -730.0    1.006   34.658   0.0   0.0
   -720.0    0.992   34.654   0.0   0.0
   -710.0    0.988   34.652   0.0   0.0
   -700.0    0.987   34.653   0.0   0.0
   -690.0    0.990   34.653   0.0   0.0
   -680.0    0.989   34.652   0.0   0.0
   -670.0    0.978   34.646   0.0   0.0
   -660.0    0.961   34.641   0.0   0.0
   -650.0    0.945   34.633   0.0   0.0
   -640.0    0.916   34.623   0.0   0.0
   -630.0    0.900   34.617   0.0   0.0
   -620.0    0.873   34.608   0.0   0.0
   -610.0    0.852   34.599   0.0   0.0
   -600.0    0.832   34.589   0.0   0.0
   -590.0    0.787   34.566   0.0   0.0
   -580.0    0.664   34.522   0.0   0.0
   -570.0    0.582   34.499   0.0   0.0
   -560.0    0.557   34.488   0.0   0.0
   -550.0    0.497   34.467   0.0   0.0
   -540.0    0.447   34.453   0.0   0.0
   -530.0    0.396   34.434   0.0   0.0
   -520.0    0.319   34.415   0.0   0.0
   -510.0    0.259   34.404   0.0   0.0
   -500.0    0.220   34.399   0.0   0.0
   -490.0    0.213   34.396   0.0   0.0
   -480.0    0.189   34.391   0.0   0.0
   -470.0    0.172   34.389   0.0   0.0
   -460.0    0.164   34.387   0.0   0.0
   -450.0    0.140   34.375   0.0   0.0
   -440.0    0.094   34.368   0.0   0.0
   -430.0    0.092   34.362   0.0   0.0
   -420.0    0.089   34.354   0.0   0.0
   -410.0    0.072   34.340   0.0   0.0
   -400.0    0.019   34.324   0.0   0.0
   -390.0   -0.012   34.304   0.0   0.0
   -380.0   -0.020   34.297   0.0   0.0
   -370.0   -0.023   34.294   0.0   0.0
   -360.0   -0.030   34.291   0.0   0.0
   -350.0   -0.042   34.285   0.0   0.0
   -340.0   -0.057   34.283   0.0   0.0
   -330.0   -0.053   34.283   0.0   0.0
   -320.0   -0.055   34.279   0.0   0.0
   -310.0   -0.083   34.261   0.0   0.0
   -300.0   -0.198   34.228   0.0   0.0
   -290.0   -0.270   34.198   0.0   0.0
   -280.0   -0.304   34.181   0.0   0.0
   -270.0   -0.328   34.172   0.0   0.0
   -260.0   -0.363   34.163   0.0   0.0
   -250.0   -0.369   34.159   0.0   0.0
   -240.0   -0.383   34.152   0.0   0.0
   -230.0   -0.397   34.143   0.0   0.0
   -220.0   -0.428   34.113   0.0   0.0
   -210.0   -0.627   34.063   0.0   0.0
   -200.0   -0.675   34.043   0.0   0.0
   -190.0   -0.791   34.025   0.0   0.0
   -180.0   -0.776   34.024   0.0   0.0
   -170.0   -0.817   34.023   0.0   0.0
   -160.0   -0.821   34.023   0.0   0.0
   -150.0   -0.833   34.016   0.0   0.0
   -140.0   -0.848   34.011   0.0   0.0
   -130.0   -0.840   34.011   0.0   0.0
   -120.0   -0.841   34.006   0.0   0.0
   -110.0   -0.874   33.999   0.0   0.0
   -100.0   -0.919   33.981   0.0   0.0
    -90.0   -1.008   33.955   0.0   0.0
    -80.0   -1.458   33.913   0.0   0.0
    -70.0   -1.833   33.890   0.0   0.0
    -60.0   -1.862   33.862   0.0   0.0
    -50.0   -1.864   33.886   0.0   0.0
    -40.0   -1.862   33.883   0.0   0.0
    -30.0   -1.859   33.881   0.0   0.0
    -20.0   -1.854   33.879   0.0   0.0
    -10.0   -1.854   33.878   0.0   0.0
      0.0   -1.855   33.880   0.0   0.0
