0       -1200
100     -1175.48049965558
200     -1153.09158331432
300     -1132.67255125050
400 	-1114.07293424626
500     -1097.15196576837
600     -1081.77807483850
700 	-1067.82839904887
800 	-1055.18831718271
900     -1043.75100090594
1000	-1033.41698500422
1100	-1024.09375564650
1200	-1015.69535616399
1300	-1008.14200984034
1400	-1001.35975921673
1500	-995.280121422234
1600	-989.839759048004
1700	-984.980166090386
1800	-980.647368496006
1900	-976.791638848936
2000	-973.367224747479
2100	-970.332090425495
2200	-967.647671180508
2300	-965.278640178206
2400	-963.192687210318
2500	-961.360308990175
2600	-959.754610577656
2700	-958.351117532542
2800	-957.127598402702
2900	-956.063897160832
3000	-955.141775210891
3100	-954.344762592682
3200	-953.658018020412
3300	-953.068197398412
3400	-952.563330464560
3500	-952.132705219305
3600	-951.766759805532
3700	-951.456981511905
3800	-951.195812579634
3900	-950.976562500000
4000	-950.793326497322
4100	-950.640909899399
4200	-950.514758104838
4300	-950.410891863995
4400	-950.325847597673
4500	-950.256622485016
4600	-950.200624059440
4700	-950.155624058781
4800	-950.119716283188
4900	-950.091278221670
5000	-950.068936215549
5100	-950.051533934415
5200	-950.038103947569
5300	-950.027842181261
5400	-950.020085059418
5500	-950.014289132892
5600	-950.010013009627
5700	-950.006901405490
5800	-950.004671142889
5900	-950.003098931630
6000	-950.002010773847
6100	-950.001272842178
6200	-950.000783687732
6300	-950.000467641731
6400	-950.000269282092
6500	-950.000148843545
6600	-950.000078457263
6700	-950.000039113319
6800	-950.000018246652
6900	-950.000007854585
7000	-950.000003061280
7100	-950.000001051883
7200	-950.000000306474
7300	-950.000000071276
7400	-950.000000011958
7500	-950.000000001197
7600	-950.000000000047
7700	-950
7800	-950
