0       -1200
100     -1193.63083497699
200     -1187.34385272847
300     -1181.13905325444
400     -1175.01643655490
500     -1168.97600262985
600     -1163.01775147929
700 	-1157.14168310322
800     -1151.34779750164
900 	-1145.63609467456
1000	-1140.00657462196
1100	-1134.45923734385
1200	-1128.99408284024
1300	-1123.61111111111
1400	-1118.31032215648
1500	-1113.09171597633
1600	-1107.95529257068
1700	-1102.90105193951
1800	-1097.92899408284
1900	-1093.03911900066
2000	-1088.23142669297
2100	-1083.50591715976
2200	-1078.86259040105
2300	-1074.30144641683
2400	-1069.82248520710
2500	-1065.42570677186
2600	-1061.11111111111
2700	-1056.87869822485
2800	-1052.72846811308
2900	-1048.66042077581
3000	-1044.67455621302
3100	-1040.77087442472
3200	-1036.94937541091
3300	-1033.21005917160
3400	-1029.55292570677
3500	-1025.97797501644
3600	-1022.48520710059
3700	-1019.07462195924
3800	-1015.74621959237
3900	-1012.50000000000
4000	-1009.33596318212
4100	-1006.25410913872
4200	-1003.25443786982
4300	-1000.33694937541
4400	-997.501643655490
4500	-994.748520710059
4600	-992.077580539119
4700	-989.488823142669
4800	-986.982248520710
4900	-984.557856673241
5000	-982.215647600263
5100	-979.955621301775
5200	-977.777777777778
5300	-975.682117028271
5400	-973.668639053254
5500	-971.737343852729
5600	-969.888231426693
5700	-968.121301775148
5800	-966.436554898093
5900	-964.833990795529
6000	-963.313609467456
6100	-961.875410913872
6200	-960.519395134780
6300	-959.245562130178
6400	-958.053911900066
6500	-956.944444444445
6600	-955.917159763314
6700	-954.972057856673
6800	-954.109138724523
6900	-953.328402366864
7000	-952.629848783695
7100	-952.013477975017
7200	-951.479289940828
7300	-951.027284681131
7400	-950.657462195924
7500	-950.369822485207
7600	-950.164365548981
7700	-950.041091387245
7800	-950
