     0.0 -1425.0  -26.8   1.12
 24400.0 -1350.0  -27.9   4.09
 48600.0 -1225.0  -28.4   4.08
 72600.0 -1075.0  -27.3   2.34
 95400.0 -1055.0  -26.9   0.60
120300.0 -1010.0  -26.6   0.33
145100.0  -910.0  -27.3   0.65
169800.0  -905.0  -27.8  -0.04
184700.0  -870.0  -27.8   0.39
209400.0  -825.0  -27.4   1.23
233800.0  -790.0  -27.1   0.72
258600.0  -755.0  -26.7   0.23
283100.0  -670.0  -26.4   0.51
306800.0  -610.0  -26.3  -0.18
331600.0  -575.0  -26.4  -0.28
356600.0  -570.0  -26.6   0.09
381500.0  -565.0  -26.6  -0.01
406400.0  -515.0  -26.6  -0.26
431300.0  -490.0  -26.4  -0.22
456200.0  -460.0  -26.2  -0.28
481200.0  -445.0  -26.0  -0.18
506100.0  -425.0  -25.8   0.05
551600.0  -420.0  -25.8  -0.27
593600.0  -395.0  -25.2  -0.05
635400.0  -390.0  -25.1  -0.03
678400.0  -360.0  -24.6   0.06
719000.0  -345.0  -24.3   1.47
762000.0  -225.0  -23.3   5.55
